date,county,total_vacs
2021-04-15,台北市,6033
2021-04-15,新北市,2813
2021-04-15,桃園市,3280
2021-04-15,台中市,3734
2021-04-15,台南市,2157
2021-04-15,高雄市,5216
2021-04-15,新竹縣,698
2021-04-15,彰化縣,803
2021-04-15,雲林縣,256
2021-04-15,屏東縣,761
2021-04-15,基隆市,400
2021-04-15,宜蘭縣,632
2021-04-15,新竹市,491
2021-04-15,苗栗縣,306
2021-04-15,嘉義市,534
2021-04-15,嘉義縣,743
2021-04-15,花蓮縣,754
2021-04-15,台東縣,165
2021-04-15,南投縣,201
2021-04-15,澎湖縣,80
2021-04-15,金門縣,48
2021-04-15,連江縣,50
2021-04-16,台北市,6459
2021-04-16,新北市,2961
2021-04-16,桃園市,3512
2021-04-16,台中市,3885
2021-04-16,台南市,2347
2021-04-16,高雄市,5765
2021-04-16,新竹縣,762
2021-04-16,彰化縣,869
2021-04-16,雲林縣,297
2021-04-16,屏東縣,832
2021-04-16,基隆市,400
2021-04-16,宜蘭縣,661
2021-04-16,新竹市,511
2021-04-16,苗栗縣,306
2021-04-16,嘉義市,585
2021-04-16,嘉義縣,771
2021-04-16,花蓮縣,797
2021-04-16,台東縣,187
2021-04-16,南投縣,265
2021-04-16,澎湖縣,90
2021-04-16,金門縣,77
2021-04-16,連江縣,50
2021-04-17,台北市,6459
2021-04-17,新北市,2961
2021-04-17,桃園市,3512
2021-04-17,台中市,3903
2021-04-17,台南市,2347
2021-04-17,高雄市,5777
2021-04-17,新竹縣,762
2021-04-17,彰化縣,880
2021-04-17,雲林縣,297
2021-04-17,屏東縣,832
2021-04-17,基隆市,400
2021-04-17,宜蘭縣,661
2021-04-17,新竹市,521
2021-04-17,苗栗縣,306
2021-04-17,嘉義市,585
2021-04-17,嘉義縣,771
2021-04-17,花蓮縣,797
2021-04-17,台東縣,187
2021-04-17,南投縣,275
2021-04-17,澎湖縣,90
2021-04-17,金門縣,77
2021-04-17,連江縣,50
2021-04-19,台北市,6790
2021-04-19,新北市,3018
2021-04-19,桃園市,3640
2021-04-19,台中市,4006
2021-04-19,台南市,2381
2021-04-19,高雄市,5916
2021-04-19,新竹縣,779
2021-04-19,彰化縣,880
2021-04-19,雲林縣,335
2021-04-19,屏東縣,832
2021-04-19,基隆市,400
2021-04-19,宜蘭縣,692
2021-04-19,新竹市,521
2021-04-19,苗栗縣,317
2021-04-19,嘉義市,636
2021-04-19,嘉義縣,771
2021-04-19,花蓮縣,818
2021-04-19,台東縣,187
2021-04-19,南投縣,286
2021-04-19,澎湖縣,90
2021-04-19,金門縣,77
2021-04-19,連江縣,50
2021-04-20,台北市,7021
2021-04-20,新北市,3066
2021-04-20,桃園市,3791
2021-04-20,台中市,4057
2021-04-20,台南市,2429
2021-04-20,高雄市,5996
2021-04-20,新竹縣,785
2021-04-20,彰化縣,902
2021-04-20,雲林縣,363
2021-04-20,屏東縣,858
2021-04-20,基隆市,424
2021-04-20,宜蘭縣,710
2021-04-20,新竹市,521
2021-04-20,苗栗縣,336
2021-04-20,嘉義市,678
2021-04-20,嘉義縣,771
2021-04-20,花蓮縣,818
2021-04-20,台東縣,187
2021-04-20,南投縣,286
2021-04-20,澎湖縣,90
2021-04-20,金門縣,77
2021-04-20,連江縣,50
2021-04-21,台北市,7606
2021-04-21,新北市,3489
2021-04-21,桃園市,4106
2021-04-21,台中市,4400
2021-04-21,台南市,2491
2021-04-21,高雄市,6242
2021-04-21,新竹縣,820
2021-04-21,彰化縣,986
2021-04-21,雲林縣,401
2021-04-21,屏東縣,903
2021-04-21,基隆市,514
2021-04-21,宜蘭縣,718
2021-04-21,新竹市,569
2021-04-21,苗栗縣,383
2021-04-21,嘉義市,711
2021-04-21,嘉義縣,791
2021-04-21,花蓮縣,876
2021-04-21,台東縣,187
2021-04-21,南投縣,332
2021-04-21,澎湖縣,90
2021-04-21,金門縣,96
2021-04-21,連江縣,50
2021-04-22,台北市,8108
2021-04-22,新北市,3918
2021-04-22,桃園市,4213
2021-04-22,台中市,4777
2021-04-22,台南市,2577
2021-04-22,高雄市,6508
2021-04-22,新竹縣,915
2021-04-22,彰化縣,1091
2021-04-22,雲林縣,401
2021-04-22,屏東縣,927
2021-04-22,基隆市,607
2021-04-22,宜蘭縣,849
2021-04-22,新竹市,623
2021-04-22,苗栗縣,394
2021-04-22,嘉義市,760
2021-04-22,嘉義縣,841
2021-04-22,花蓮縣,912
2021-04-22,台東縣,226
